;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; PH-BGM ;Boeing 737-7K2(WL); CY142 ; 26 Apr 2011 ;; GM-209 ; Aalscholver / Cormorant ; 11 Years ;;
; PH-BGQ ;Boeing 737-7K2(WL); CY142 ; 22 Jun 2011 ;; GQ-213 ; Wielewaal / Golden Oriole ; 10.7 Years ;;
; PH-BGT ;Boeing 737-7K2(WL); CY142 ; 7 Sep 2011 ;lsd ; GT-215 ; Blauwe Kiekendief / Hen Harrier ; 10.5 Years ;;
; PH-BGX ;Boeing 737-7K2(WL); CY142 ; 24 Oct 2011 ;lsd ; GX-218 ; Scholekster / Oystercatcher ; 10.4 Years ;;
; PH-BCA ;Boeing 737-8K2(WL); CY180 ; 20 Dec 2010 ;; CA-322 ; Flamingo ; 11.3 Years ;;
; PH-BCB ;Boeing 737-8K2(WL); CY180 ; 26 May 2011 ;lsd ; CB-323 ; Grote Pijlstormvogel / Great Shearwater ; 10.8 Years ;;
; PH-BCD ;Boeing 737-8K2(WL); CY180 ; 20 May 2013 ;; CD-324 ; Koperwiek / Redwing ; 8.8 Years ;;
; PH-BCE ;Boeing 737-8K2(WL); CY180 ; 28 Apr 2014 ; Parked ; CE-325 ; Bluethroat / Blauwborst ; 7.9 Years ;;
; PH-BCG ;Boeing 737-8K2(WL); CY180 ; 18 Mar 2019 ;lsd ; CG-328 ; Ivoormeeuw / Ivory Gull ; 3 Years ;;
; PH-BCH ;Boeing 737-8K2(WL); CY180 ; 26 Mar 2019 ;lsd ; CH-329 ; Nightjar / Nachtzwaluw ; 2.9 Years ;;
; PH-BCK ;Boeing 737-8K2(WL); CY180 ; 24 Apr 2019 ;lsd ; CK-330 ; Amsterdamalbatros / Amsterdam albatross ; 2.9 Years ;;
; PH-BCL ;Boeing 737-8K2(WL); CY180 ; 18 Dec 2019 ;lsd ; CL-332 ; Red-crested Pochard / Krooneend ; 2.2 Years ;;
; PH-BGA ;Boeing 737-8K2(WL); CY180 ; 9 Apr 2008 ;lsd ; GA-319 ; Tureluur / Redshank ; 13.9 Years ;;
; PH-BGB ;Boeing 737-8K2(WL); CY180 ; 6 May 2008 ;lsd ; GB-320 ; Regenwulp / Whimbrel ; 13.9 Years ;;
; PH-BGC ;Boeing 737-8K2(WL); CY180 ; 28 May 2008 ;lsd ; GC-321 ; Pijlstaart / Pintail ; 13.8 Years ;;
; PH-BXA ;Boeing 737-8K2(WL); CY180 ; 25 Feb 1999 ;; XA-301 ; Zwaan / Swan ; 23.1 Years ;;
; PH-BXB ;Boeing 737-8K2(WL); CY180 ; 10 May 1999 ;; XB-302 ; Valk / Falcon ; 22.9 Years ;;
; PH-BXC ;Boeing 737-8K2(WL); CY180 ; 30 Jun 1999 ;; XC-303 ; Korhoen / Grouse ; 22.7 Years ;;
; PH-BXD ;Boeing 737-8K2(WL); CY180 ; 30 Aug 1999 ;; XD-304 ; Arend / Eagle ; 22.6 Years ;;
; PH-BXE ;Boeing 737-8K2(WL); CY180 ; 18 May 2000 ;; XE-305 ; Havik / Hawk ; 21.8 Years ;;
; PH-BXF ;Boeing 737-8K2(WL); CY180 ; 15 Jun 2000 ;; XF-306 ; Zwaluw / Swallow ; 21.7 Years ;;
; PH-BXG ;Boeing 737-8K2(WL); CY180 ; 22 Jul 2000 ; Parked ; XG-307 ; Kraanvogel / Crane ; 21.7 Years ;;
; PH-BXH ;Boeing 737-8K2(WL); CY180 ; 15 Aug 2000 ;; XH-308 ; Gans / Goose ; 21.6 Years ;;
; PH-BXI ;Boeing 737-8K2(WL); CY180 ; 29 Aug 2000 ; Parked ; XI-309 ; Zilvermeeuw / Herring Gull ; 21.6 Years ;;
; PH-BXK ;Boeing 737-8K2(WL); CY180 ; 12 Sep 2000 ;; XK-310 ; Gierzwaluw / Swift ; 21.6 Years ;;
; PH-BXL ;Boeing 737-8K2(WL); CY180 ; 26 Sep 2000 ;; XL-311 ; Sperwer / Sparrow Hawk ; 21.5 Years ;;
; PH-BXM ;Boeing 737-8K2(WL); CY180 ; 27 Nov 2000 ;lsd ; XM-312 ; Kluut / Avocet ; 21.3 Years ;;
; PH-BXN ;Boeing 737-8K2(WL); CY180 ; 16 Dec 2000 ; Parked, lsd ; XN-313 ; Merel / Blackbird ; 21.2 Years ;;
; PH-BXU ;Boeing 737-8BK(WL); CY180 ; 12 May 2006 ;lsd ; XU-314 ; Albatros / Albatross ; 15.9 Years ;;
; PH-BXV ;Boeing 737-8K2(WL); CY180 ; 16 Mar 2007 ;lsd ; XV-315 ; Roodborstje / Robin ; 15 Years ;;
; PH-BXW ;Boeing 737-8K2(WL); CY180 ; 20 Dec 2007 ;lsd ; XW-316 ; Patrijs / Partridge ; 14.2 Years ;;
; PH-BXY ;Boeing 737-8K2(WL); CY180 ; 6 Feb 2008 ;lsd ; XY-317 ; Fuut / Grebe ; 14.1 Years ;;
; PH-BXZ ;Boeing 737-8K2(WL); CY180 ; 5 Mar 2008 ;lsd ; XZ-318 ; Uil / Owl ; 14 Years ;;
